cell_name,Ambient temperature,Discharging current,Depth of discharge,Average charging current,State of Health,dSOH/dNeq
8,15,-2.6,100,2.05,1,0
8,15,-2.6,100,2,0.975,0.01146
8,15,-2.6,100,1.93,0.95,0.02222
8,15,-2.6,100,1.9,0.925,0.03184
8,15,-2.6,100,1.86,0.9,0.0618
8,15,-2.6,100,1.83,0.875,0.08716
8,15,-2.6,100,1.79,0.85,0.12413
8,15,-2.6,100,1.71,0.825,0.1342
8,15,-2.6,100,1.62,0.8,0.1551
9,15,-5.2,100,2.41,1,0
9,15,-5.2,100,2.43,0.975,0.02243
9,15,-5.2,100,2.38,0.95,0.03208
9,15,-5.2,100,2.26,0.925,0.03776
9,15,-5.2,100,2.22,0.9,0.05783
9,15,-5.2,100,2.2,0.875,0.06041
9,15,-5.2,100,2.12,0.85,0.0698
9,15,-5.2,100,2.07,0.825,0.0721
9,15,-5.2,100,2.01,0.8,0.0823
10,15,-7.8,100,3.39,1,0
10,15,-7.8,100,3.39,0.975,0.0062
10,15,-7.8,100,3.02,0.95,0.01965
10,15,-7.8,100,3,0.925,0.0246
10,15,-7.8,100,2.75,0.9,0.02985
10,15,-7.8,100,2.56,0.875,0.0374
10,15,-7.8,100,2.42,0.85,0.0441
10,15,-7.8,100,2.25,0.825,0.0512
10,15,-7.8,100,2.09,0.8,0.0591
11,15,-5.2,50,2.3,1,0
11,15,-5.2,50,2.2,0.975,0.0115
11,15,-5.2,50,2.21,0.95,0.03241
11,15,-5.2,50,2.2,0.925,0.0542
11,15,-5.2,50,2.19,0.9,0.07181
11,15,-5.2,50,2.17,0.875,0.08345
11,15,-5.2,50,2.16,0.85,0.091134
11,15,-5.2,50,2.16,0.825,0.101
11,15,-5.2,50,2.16,0.8,0.122
12,15,-2.6,50,2.18,1,0
12,15,-2.6,50,2.04,0.975,0.021
12,15,-2.6,50,2.02,0.95,0.057513
12,15,-2.6,50,2,0.925,0.1031
12,15,-2.6,50,2,0.9,0.1242
12,15,-2.6,50,2,0.875,0.1345
12,15,-2.6,50,1.99,0.85,0.1412
12,15,-2.6,50,2,0.825,0.144135
12,15,-2.6,50,1.99,0.8,0.149431
13,15,-5.2,100,1.96,1,0
13,15,-5.2,100,1.89,0.975,0.051
13,15,-5.2,100,1.86,0.95,0.0691
13,15,-5.2,100,1.82,0.925,0.09289
13,15,-5.2,100,1.77,0.9,0.12549
13,15,-5.2,100,1.76,0.875,0.1341
13,15,-5.2,100,1.74,0.85,0.1572
13,15,-5.2,100,1.72,0.825,0.1813
13,15,-5.2,100,1.71,0.8,0.20816
14,25,-10.5,100,2.31,1,0
14,25,-10.5,100,2.25,0.975,0.0297821
14,25,-10.5,100,2.12,0.95,0.0385
14,25,-10.5,100,2.012,0.925,0.0512
14,25,-10.5,100,1.91,0.9,0.1245
14,25,-10.5,100,1.65,0.875,0.2101
14,25,-10.5,100,1.54,0.85,0.2561
14,25,-10.5,100,1.41,0.825,0.2981
14,25,-10.5,100,1.21,0.8,0.3371
15,25,-7.8,100,3.34,1,0
15,25,-7.8,100,3.24,0.975,0.0207
15,25,-7.8,100,3.07,0.95,0.0239
15,25,-7.8,100,2.8,0.925,0.0223
15,25,-7.8,100,2.71,0.9,0.02594
15,25,-7.8,100,2.42,0.875,0.03042
15,25,-7.8,100,2.24,0.85,0.0474
15,25,-7.8,100,2.05,0.825,0.07697
15,25,-7.8,100,1.94,0.8,0.108
16,25,-5.2,100,2.91,1,0
16,25,-5.2,100,2.9,0.975,0.01704
16,25,-5.2,100,2.73,0.95,0.02271
16,25,-5.2,100,2.63,0.925,0.02383
16,25,-5.2,100,2.55,0.9,0.0343
16,25,-5.2,100,2.45,0.875,0.03894
16,25,-5.2,100,2.4,0.85,0.0425
16,25,-5.2,100,2.38,0.825,0.0485
16,25,-5.2,100,2.3,0.8,0.051
17,25,-2.6,100,2.22,1,0
17,25,-2.6,100,2.12,0.975,0.00661
17,25,-2.6,100,1.95,0.95,0.0112
17,25,-2.6,100,1.92,0.925,0.0114
17,25,-2.6,100,1.88,0.9,0.01598
17,25,-2.6,100,1.83,0.875,0.01735
17,25,-2.6,100,1.81,0.85,0.01924
17,25,-2.6,100,1.77,0.825,0.02107
17,25,-2.6,100,1.72,0.8,0.02358
18,25,-7.8,100,2.02,1,0
18,25,-7.8,100,1.92,0.975,0.02277
18,25,-7.8,100,1.84,0.95,0.01947
18,25,-7.8,100,1.75,0.925,0.02173
18,25,-7.8,100,1.71,0.9,0.02051
18,25,-7.8,100,1.58,0.875,0.0608
18,25,-7.8,100,1.44,0.85,0.13762
18,25,-7.8,100,1.31,0.825,0.1813
18,25,-7.8,100,1.18,0.8,0.248
19,25,-5.2,100,2.07,1,0
19,25,-5.2,100,2.06,0.975,0.01215
19,25,-5.2,100,2.03,0.95,0.02269
19,25,-5.2,100,1.91,0.925,0.02745
19,25,-5.2,100,1.91,0.9,0.02842
19,25,-5.2,100,1.85,0.875,0.03633
19,25,-5.2,100,1.78,0.85,0.03942
19,25,-5.2,100,1.75,0.825,0.0408
19,25,-5.2,100,1.73,0.8,0.0491
20,25,-2.6,100,3.2,1,0
20,25,-2.6,100,3.15,0.975,0.06045
20,25,-2.6,100,3.1,0.95,0.07841
20,25,-2.6,100,3.05,0.925,0.11654
20,25,-2.6,100,3.04,0.9,0.1214
20,25,-2.6,100,3.03,0.875,0.1384
20,25,-2.6,100,3.02,0.85,0.14757
20,25,-2.6,100,3.01,0.825,0.17541
20,25,-2.6,100,3,0.8,0.1978
21,25,-5.2,50,2.18,1,0
21,25,-5.2,50,2.18,0.975,0.00304
21,25,-5.2,50,2.18,0.95,0.00715
21,25,-5.2,50,2.18,0.925,0.01236
21,25,-5.2,50,2.18,0.9,0.01407
21,25,-5.2,50,2.18,0.875,0.02009
21,25,-5.2,50,2.18,0.85,0.02245
21,25,-5.2,50,2.18,0.825,0.03216
21,25,-5.2,50,2.18,0.8,0.03608
22,25,-5.2,16,2.34,1,0
22,25,-5.2,16,2.34,0.975,0.00078
22,25,-5.2,16,2.35,0.95,0.001217427
22,25,-5.2,16,2.34,0.925,0.00212923
22,25,-5.2,16,2.32,0.9,0.0026923
22,25,-5.2,16,2.32,0.875,0.004
22,25,-5.2,16,2.46,0.85,0.00441068
22,25,-5.2,16,2.46,0.825,0.004762993
22,25,-5.2,16,2.43,0.8,0.004988825
23,40,-7.8,100,3.5,1,0
23,40,-7.8,100,3.21,0.975,0.0167
23,40,-7.8,100,3.08,0.95,0.0191
23,40,-7.8,100,2.92,0.925,0.0211
23,40,-7.8,100,2.82,0.9,0.02513
23,40,-7.8,100,2.72,0.875,0.02915
23,40,-7.8,100,2.63,0.85,0.03615
23,40,-7.8,100,2.43,0.825,0.0491
23,40,-7.8,100,2.39,0.8,0.064135
24,40,-5.2,100,3.2,1,0
24,40,-5.2,100,2.97,0.975,0.01011
24,40,-5.2,100,2.88,0.95,0.01584
24,40,-5.2,100,2.75,0.925,0.02148
24,40,-5.2,100,2.66,0.9,0.02526
24,40,-5.2,100,2.56,0.875,0.02946
24,40,-5.2,100,2.46,0.85,0.03513
24,40,-5.2,100,2.37,0.825,0.03896
24,40,-5.2,100,2.33,0.8,0.04318
25,40,-2.6,100,2.53,1,0
25,40,-2.6,100,2.49,0.975,0.01204
25,40,-2.6,100,2.4,0.95,0.02153
25,40,-2.6,100,2.35,0.925,0.02364
25,40,-2.6,100,2.35,0.9,0.03138
25,40,-2.6,100,2.32,0.875,0.04394
25,40,-2.6,100,2.19,0.85,0.06745
25,40,-2.6,100,2.22,0.825,0.08134
25,40,-2.6,100,2.08,0.8,0.1041
26,40,-2.6,100,3.72,1,0
26,40,-2.6,100,3.68,0.975,0.02385
26,40,-2.6,100,3.59,0.95,0.04318
26,40,-2.6,100,3.53,0.925,0.05138
26,40,-2.6,100,3.46,0.9,0.05786
26,40,-2.6,100,3.43,0.875,0.062
26,40,-2.6,100,3.38,0.85,0.0681
26,40,-2.6,100,3.32,0.825,0.07131
26,40,-2.6,100,3.22,0.8,0.08737
3,10,-2.6,27,2,1,0.003
3,10,-2.6,27,1.92,0.975,0.021918373
3,10,-2.6,27,1.63,0.95,0.045126061
3,10,-2.6,27,1.81,0.925,0.065003017
3,10,-2.6,27,1.63,0.9,0.0841
3,10,-2.6,27,1.61,0.875,0.0912
3,10,-2.6,27,1.66,0.85,0.10184
3,10,-2.6,27,1.65,0.825,0.1128
3,10,-2.6,27,1.6,0.8,0.1248
1,10,-2.6,73,2.6,1,0.003
